作答ID,用户ID,开始时间,结束时间,作答时长,作答渠道,IP,经度,纬度,省份,城市,设备类型,操作系统类型,浏览器类型,屏幕分辨率,Synchronicity,Group,Gender,Education,Age,NativeLanguage,Experience_AI,SelfPersonality_1,SelfPersonality_2,SelfPersonality_3,SelfPersonality_4,SelfPersonality_5,SelfPersonality_6,SelfPersonality_7,SelfPersonality_8,SelfPersonality_9,SelfPersonality_10,SelfPersonality_11,SelfPersonality_12,SelfPersonality_13,SelfPersonality_14,SelfPersonality_15,SelfPersonality_16,BrandPersonality_1,BrandPersonality_2,BrandPersonality_3,BrandPersonality_4,BrandPersonality_5,BrandPersonality_6,BrandPersonality_7,BrandPersonality_8,BrandPersonality_9,BrandPersonality_10,BrandPersonality_11,BrandPersonality_12,BrandPersonality_13,BrandPersonality_14,BrandPersonality_15,BrandPersonality_16,InfluencerPersonality_1,InfluencerPersonality_2,InfluencerPersonality_3,InfluencerPersonality_4,InfluencerPersonality_5,InfluencerPersonality_6,InfluencerPersonality_7,InfluencerPersonality_8,InfluencerPersonality_9,InfluencerPersonality_10,InfluencerPersonality_11,InfluencerPersonality_12,InfluencerPersonality_13,InfluencerPersonality_14,InfluencerPersonality_15,InfluencerPersonality_16,ContentMatch_1,ContentMatch_2,ContentMatch_3,ContentMatch_4,ContentMatch_7,ContentMatch_8,ContentMatch_9,ContentMatch_10,ContentMatch_11,ContentMatch_12,ContentMatch_13,ContentMatch_14,ExtendedPersonality_1,ExtendedPersonality_2,ExtendedPersonality_3,ExtendedPersonality_4,ExtendedPersonality_5,ExtendedPersonality_6,ExtendedPersonality_7,ExtendedPersonality_8,ExtendedPersonality_9,ExtendedPersonality_10,ExtendedPersonality_11,ExtendedPersonality_12,ExtendedPersonality_13,ExtendedPersonality_14,ExtendedPersonality_15,ExtendedPersonality_16,TargetingGap_1R,TargetingGap_2R,TargetingGap_3R,TargetingGap_4,TargetingGap_5,DemonstrativeGap_1R,DemonstrativeGap_2R,DemonstrativeGap_3R,DemonstrativeGap_4R,DemonstrativeGap_5,PersuasiveGap_1,PersuasiveGap_2,PersuasiveGap_3,PersuasiveGap_5,PersuasiveGap_6,Recall_Brand,Recall_Influencer,ResponseTime1,ResponseTime2,ResponseTime3,AVE_SP_1,AVE_SP_2,AVE_SP_3,AVE_SP_4,AVE_BP_1,AVE_BP_2,AVE_BP_3,AVE_BP_4,AVE_IP_1,AVE_IP_2,AVE_IP_3,AVE_IP_4,AVE_EP_1,AVE_EP_2,AVE_EP_3,AVE_EP_4
nZoyY1pQvyN,pLzP4PjM,27/12/2024 23:20,27/12/2024 23:30,617,1,183.192.103.63,121.543121,31.18531,上海市,市辖区,COMPUTER,Windows,Chrome,1372px*858px,1,1,2,4,2,1,3,3,1,2,1,4,1,5,4,4,3,3,2,5,2,4,3,3,1,3,2,4,3,4,1,5,2,2,2,4,3,4,3,2,2,4,1,4,4,4,2,5,2,3,5,4,5,4,3,4,5,5,4,3,4,4,5,4,5,3,4,3,1,2,2,5,2,4,3,4,1,4,2,5,3,4,2,5,4,4,1,2,2,3,3,4,2,1,2,2,2,2,1,1,154848.6,70273.6,26555.2,1.75,4.333333333,3,3.5,2.25,3,2.75,3.5,2.25,3.5,3.75,4,2,3.5,2.75,3.5
Xy4ZJPNJr4r,27akN4Ne,27/12/2024 22:04,27/12/2024 22:15,671,1,123.246.33.230,122.10098,40.184031,辽宁省,营口市,COMPUTER,Windows,Chrome,780px*360px,1,1,2,4,4,1,3,5,5,4,5,4,1,2,4,5,1,4,1,5,2,1,1,1,1,2,1,2,2,4,2,5,4,1,2,4,4,4,2,1,1,2,2,4,2,2,2,2,1,2,4,4,4,4,1,5,4,5,4,4,5,4,4,5,4,5,5,2,1,2,1,2,1,4,1,4,2,1,1,4,2,2,1,2,1,2,4,5,4,5,4,4,1,5,4,5,5,4,1,1,33043.8,9322.4,28689,4.75,3.333333333,2.333333333,2.25,1.25,2.5,3,3.5,1.5,2.5,2.25,3.25,1.5,2,2,2.25
WQ2ZW6rvn5r,pLzyvR87,27/12/2024 21:42,27/12/2024 22:01,1145,1,10.148.83.78,113.879918,23.042687,广东省,东莞市,COMPUTER,Windows,Chrome,1536px*864px,1,1,1,5,2,1,3,5,2,2,1,5,2,5,5,5,2,5,2,2,2,1,5,5,2,5,5,1,2,3,5,4,1,4,5,2,1,3,1,4,1,1,2,4,2,5,1,1,5,5,2,4,5,3,5,5,4,5,4,3,5,5,5,4,5,4,5,3,1,4,1,5,2,4,1,5,5,5,2,5,1,4,5,5,4,5,5,1,5,5,4,2,5,1,4,2,1,5,1,1,42933.7,81426.6,75073.6,2.5,5,3,2.5,4.25,2.75,3.5,1.75,2,3,3.25,4.25,2.25,3,4.25,3.75
vwkRnJkEwBx,G7XZrPde,27/12/2024 21:41,27/12/2024 21:53,707,1,221.1.164.96,117.1143,36.189606,山东省,泰安市,COMPUTER,Windows,Chrome,1920px*1080px,1,1,1,4,2,1,3,4,4,5,4,5,1,4,4,4,1,5,2,5,4,4,2,2,1,2,2,4,2,5,1,4,4,2,2,4,1,5,2,2,2,2,1,4,2,4,1,4,4,2,4,4,5,3,5,5,5,4,4,5,5,4,4,5,5,5,4,2,1,2,2,3,2,4,2,5,4,4,3,5,2,2,2,4,4,5,1,2,2,2,1,1,2,2,4,2,1,1,1,1,32783.9,29845.5,32261.6,4.25,4.333333333,2.333333333,3.75,1.75,3,3,3,1.75,2.75,3.5,4.25,1.75,2.75,4,2.75
oGm8OPPDQjd,o7j3x4XL,27/12/2024 21:43,27/12/2024 21:52,547,1,223.101.5.115,123.309262,41.801262,辽宁省,沈阳市,COMPUTER,Windows,Chrome,1536px*864px,1,1,2,4,2,1,3,4,2,3,2,5,2,3,5,3,3,4,2,4,3,4,3,4,1,4,1,5,3,4,2,5,1,2,2,4,1,5,3,3,1,3,2,4,2,3,2,5,2,2,4,4,3,4,3,5,5,4,4,4,5,4,4,5,4,4,5,4,2,3,1,4,3,4,3,4,1,5,2,4,1,5,2,4,5,5,1,1,3,4,4,5,1,1,3,3,2,2,1,1,49515.5,16343.4,25252.6,2.75,4.333333333,2.666666667,3.5,2.5,3.5,2.5,3.25,2.25,2.75,3.25,3.5,2.5,3.5,3,3
vwkRn99DQ5W,z7ANJJrL,27/12/2024 21:34,27/12/2024 21:50,956,1,124.132.180.140,119.4978887,35.4406586,山东省,日照市,COMPUTER,Windows,Chrome,1366px*768px,1,1,1,4,4,1,3,4,3,4,3,4,2,4,5,3,2,4,2,4,3,3,3,3,2,4,2,4,3,3,2,4,2,3,2,4,2,5,2,4,3,4,2,4,1,4,1,4,2,3,3,4,4,4,4,4,5,4,4,5,5,5,4,4,4,5,4,4,2,3,2,4,1,4,1,4,2,3,2,4,2,4,1,5,4,4,2,2,4,4,4,5,2,2,3,2,2,2,1,1,7334,39378.8,28444.2,3.5,4.333333333,2.333333333,3.25,2.75,3,2.75,3.25,3.25,2.5,3,4,2.75,2.5,2.75,2.75
bo3QvaZNbqd,37KNzVlM,27/12/2024 21:35,27/12/2024 21:45,623,1,119.135.228.235,113.0468756,23.6924463,广东省,清远市,COMPUTER,Windows,Chrome,1239px*697px,1,1,2,4,2,1,3,3,1,2,1,4,1,5,4,2,3,4,2,3,2,5,5,3,1,4,1,3,2,5,2,5,1,2,1,5,2,5,2,2,1,4,1,5,3,4,3,5,2,3,4,2,5,4,5,5,4,5,5,5,4,5,3,4,3,5,4,4,1,3,2,5,1,4,3,4,4,5,3,5,2,3,1,4,5,4,1,1,4,5,4,3,1,2,4,3,4,3,1,1,23350.035,30698.17,29136.7,1.75,4.333333333,2.333333333,3.75,2.25,3,2.25,3.5,2,3.75,3.5,4,2.5,3.25,4,2.75
nZolrZ8PQEd,z7A8jP6M,27/12/2024 21:36,27/12/2024 21:49,814,1,120.243.134.70,117.2772718,31.8710932,安徽省,合肥市,COMPUTER,Windows,Chrome,1366px*768px,1,1,2,4,2,1,3,5,5,4,5,4,1,4,4,5,2,5,1,4,2,5,2,1,1,2,1,5,2,5,2,4,1,1,1,4,1,5,2,2,1,4,1,2,1,2,2,1,1,1,5,1,5,4,5,5,4,5,5,4,4,5,4,5,5,4,5,5,2,4,1,4,2,5,2,4,1,1,2,5,1,4,1,4,5,4,1,1,4,4,5,4,1,2,5,2,1,1,1,1,52471.8,39032,33367.1,4.75,4,2.666666667,3.25,1.25,3.5,1.75,3,2,1.75,2,3.75,3,3.25,2,2.75
oGm5k9r2W6O,BMDKdJKe,27/12/2024 21:31,27/12/2024 21:43,721,1,119.179.177.228,122.0854211,37.5216531,山东省,威海市,COMPUTER,Windows,Chrome,1280px*720px,1,1,2,4,2,1,2,4,3,4,4,5,2,5,4,4,1,4,1,3,2,2,2,2,1,3,1,5,2,4,1,3,2,1,1,3,1,4,2,2,1,3,1,4,3,2,2,4,1,1,5,3,4,3,5,4,5,4,3,5,4,5,5,4,3,5,4,3,1,2,1,4,2,5,2,3,1,2,2,3,1,3,2,4,5,4,1,2,3,4,2,3,1,2,1,1,2,1,1,1,33013,34820.1,43573.4,3.75,4.666666667,2,2.25,1.75,3,1.75,2.5,1.75,2.75,2.75,3.75,1.75,3.25,2,2.25
WQ2xg25ZlNB,VMJYdV3e,27/12/2024 21:29,27/12/2024 21:42,780,1,111.18.235.3,109.451749,34.492958,陕西省,渭南市,COMPUTER,Windows,Chrome,1280px*720px,1,1,2,4,2,1,3,3,2,2,2,5,1,4,5,5,2,5,1,5,2,5,4,1,1,4,1,5,4,4,4,4,2,1,1,5,1,5,4,2,2,4,1,5,4,4,3,5,1,2,5,4,4,4,5,5,4,5,4,4,5,4,5,5,4,4,5,4,1,3,1,4,4,4,3,4,3,2,3,4,3,4,3,5,5,4,1,1,3,2,2,2,1,2,2,4,2,1,1,1,71770.5,84602.2,6588.3,2.25,4.666666667,2.666666667,4,1.75,4.25,2,3.75,2.25,4,3.25,4.25,2.25,3.75,3,3.5
