作答ID,用户ID,开始时间,结束时间,作答时长,作答渠道,IP,经度,纬度,省份,城市,设备类型,操作系统类型,浏览器类型,屏幕分辨率,Synchronicity,Extrovert,Sensing,Thinking,Judging,Group,Gender,Education,Age,NativeLanguage,Experience_AI,SelfPersonality_IE1,SelfPersonality_IE2,SelfPersonality_IE3,SelfPersonality_IE4,SelfPersonality_SN1,SelfPersonality_SN2,SelfPersonality_SN3,SelfPersonality_SN4,SelfPersonality_FT1,SelfPersonality_FT2,SelfPersonality_FT3,SelfPersonality_FT4,SelfPersonality_PJ1,SelfPersonality_PJ2,SelfPersonality_PJ3,SelfPersonality_PJ4,BrandPersonality_IE1,BrandPersonality_IE2,BrandPersonality_IE3,BrandPersonality_IE4,BrandPersonality_SN1,BrandPersonality_SN2,BrandPersonality_SN3,BrandPersonality_SN4,BrandPersonality_FT1,BrandPersonality_FT2,BrandPersonality_FT3,BrandPersonality_FT4,BrandPersonality_PJ1,BrandPersonality_PJ2,BrandPersonality_PJ3,BrandPersonality_PJ4,InfluencerPersonality_IE1,InfluencerPersonality_IE2,InfluencerPersonality_IE3,InfluencerPersonality_IE4,InfluencerPersonality_SN1,InfluencerPersonality_SN2,InfluencerPersonality_SN3,InfluencerPersonality_SN4,InfluencerPersonality_FT1,InfluencerPersonality_FT2,InfluencerPersonality_FT3,InfluencerPersonality_FT4,InfluencerPersonality_PJ1,InfluencerPersonality_PJ2,InfluencerPersonality_PJ3,InfluencerPersonality_PJ4,ContentMatch_1,ContentMatch_2,ContentMatch_3,ContentMatch_4,ContentMatch_7,ContentMatch_8,ContentMatch_9,ContentMatch_10,ContentMatch_11,ContentMatch_12,ContentMatch_13,ContentMatch_14,ExtendedPersonality_IE1,ExtendedPersonality_IE2,ExtendedPersonality_IE3,ExtendedPersonality_IE4,ExtendedPersonality_SN1,ExtendedPersonality_SN2,ExtendedPersonality_SN3,ExtendedPersonality_SN4,ExtendedPersonality_FT1,ExtendedPersonality_FT2,ExtendedPersonality_FT3,ExtendedPersonality_FT4,ExtendedPersonality_PJ1,ExtendedPersonality_PJ2,ExtendedPersonality_PJ3,ExtendedPersonality_PJ4,TargetingGap_1,TargetingGap_2,TargetingGap_3,TargetingGap_4,TargetingGap_5,DemonstrativeGap_1,DemonstrativeGap_2,DemonstrativeGap_3,DemonstrativeGap_4,DemonstrativeGap_5,PersuasiveGap_1,PersuasiveGap_2,PersuasiveGap_3,PersuasiveGap_5,PersuasiveGap_6,Recall_Brand,Recall_Influencer,ResponseTime1,ResponseTime2,ResponseTime3,Discrepancy1_E,Discrepancy1_I,Discrepancy1_S,Discrepancy1_N,Discrepancy1_T,Discrepancy1_F,Discrepancy1_J,Discrepancy1_P,Discrepancy2_E,Discrepancy2_I,Discrepancy2_S,Discrepancy2_N,Discrepancy2_T,Discrepancy2_F,Discrepancy2_J,Discrepancy2_P,Discrepancy3_E,Discrepancy3_I,Discrepancy3_S,Discrepancy3_N,Discrepancy3_T,Discrepancy3_F,Discrepancy3_J,Discrepancy3_P,Discrepancy4_E,Discrepancy4_I,Discrepancy4_S,Discrepancy4_N,Discrepancy4_T,Discrepancy4_F,Discrepancy4_J,Discrepancy4_P,ABS_Discrepancy1_E,ABS_Discrepancy1_I,ABS_Discrepancy1_S,ABS_Discrepancy1_N,ABS_Discrepancy1_T,ABS_Discrepancy1_F,ABS_Discrepancy1_J,ABS_Discrepancy1_P,ABS_Discrepancy2_E,ABS_Discrepancy2_I,ABS_Discrepancy2_S,ABS_Discrepancy2_N,ABS_Discrepancy2_T,ABS_Discrepancy2_F,ABS_Discrepancy2_J,ABS_Discrepancy2_P,ABS_Discrepancy3_E,ABS_Discrepancy3_I,ABS_Discrepancy3_S,ABS_Discrepancy3_N,ABS_Discrepancy3_T,ABS_Discrepancy3_F,ABS_Discrepancy3_J,ABS_Discrepancy3_P,ABS_Discrepancy4_E,ABS_Discrepancy4_I,ABS_Discrepancy4_S,ABS_Discrepancy4_N,ABS_Discrepancy4_T,ABS_Discrepancy4_F,ABS_Discrepancy4_J,ABS_Discrepancy4_P,filter_$
nZoyY1pQvyN,pLzP4PjM,05/01/2025 23:20,05/01/2025 23:30,617,1,183.192.103.63,121.543121,31.18531,上海市,市辖区,COMPUTER,Windows,Chrome,1372px*858px,1,0,1,0,0,1,2,4,2,1,3,3,1,2,1,4,1,5,4,4,3,3,2,5,2,4,3,3,1,3,2,4,3,4,1,5,2,2,2,4,3,4,3,2,2,4,1,4,4,4,2,5,2,3,1,4,1,4,3,4,5,5,4,3,4,4,5,4,5,3,4,3,1,2,2,5,2,4,3,4,1,4,2,5,3,4,2,1,2,2,1,2,4,3,3,2,2,1,2,2,2,2,1,1,154848.6,70273.6,26555.2,0,0,0,2,-1,-1,0,-2,-1,1,1,3,-1,-2,1,-1,-1,0,1,-1,1,1,1,1,0,-1,0,-2,1,2,0,0,0,0,0,2,1,1,0,2,1,1,1,3,1,2,1,1,1,0,1,1,1,1,1,1,0,1,0,2,1,2,0,0,0
Xy4ZJPNJr4r,27akN4Ne,05/01/2025 22:04,05/01/2025 22:15,671,1,123.246.33.230,122.10098,40.184031,辽宁省,营口市,COMPUTER,Windows,Chrome,780px*360px,1,0,1,0,0,1,2,4,4,1,3,5,5,4,5,4,1,2,4,5,1,4,1,5,2,1,1,1,1,2,1,2,2,4,2,5,4,1,2,4,4,4,2,1,1,2,2,4,2,2,2,2,1,2,2,4,2,4,5,5,4,5,4,4,5,4,4,5,4,5,5,2,1,2,1,2,1,4,1,4,2,1,1,4,2,2,1,4,5,4,4,5,2,1,2,2,1,5,4,5,5,4,1,1,33043.8,9322.4,28689,0,1,0,0,2,-3,0,1,6,-7,0,1,5,1,-2,4,1,0,0,2,-1,3,-2,3,-5,8,0,1,-4,-1,0,0,0,1,0,0,2,3,0,1,6,7,0,1,5,1,2,4,1,0,0,2,1,3,2,3,5,8,0,1,4,1,0,0,0
WQ2ZW6rvn5r,pLzyvR87,05/01/2025 21:42,05/01/2025 22:01,1145,1,10.148.83.78,113.879918,23.042687,广东省,东莞市,COMPUTER,Windows,Chrome,1536px*864px,1,0,1,0,0,1,1,5,2,1,3,5,2,2,1,5,2,5,5,5,2,5,2,2,2,1,5,5,2,5,5,1,2,3,5,4,1,4,5,2,1,3,1,4,1,1,2,4,2,5,1,1,5,5,4,4,1,3,1,5,4,5,4,3,5,5,5,4,5,4,5,3,1,4,1,5,2,4,1,5,5,5,2,5,1,4,5,1,2,1,5,1,1,1,2,4,5,1,4,2,1,5,1,1,42933.7,81426.6,75073.6,5,-4,-5,-4,2,3,-2,0,2,0,1,0,4,5,-4,-5,-3,5,5,4,2,-1,4,-4,0,1,-1,0,0,-3,6,1,5,4,5,4,2,3,2,0,2,0,1,0,4,5,4,5,3,5,5,4,2,1,4,4,0,1,1,0,0,3,6,1,0
vwkRnJkEwBx,G7XZrPde,05/01/2025 21:41,05/01/2025 21:53,707,1,221.1.164.96,117.1143,36.189606,山东省,泰安市,COMPUTER,Windows,Chrome,1920px*1080px,1,0,1,0,0,1,1,4,2,1,3,4,4,5,4,5,1,4,4,4,1,5,2,5,4,4,2,2,1,2,2,4,2,5,1,4,4,2,2,4,1,5,2,2,2,2,1,4,2,4,1,4,4,2,2,4,1,3,1,5,5,4,4,5,5,4,4,5,5,5,4,2,1,2,2,3,2,4,2,5,4,4,3,5,2,2,2,2,2,1,1,2,4,4,5,5,2,2,4,2,1,1,1,1,32783.9,29845.5,32261.6,0,0,1,0,0,0,2,-1,5,-5,1,0,3,3,2,-4,0,0,-2,-1,3,-1,-2,-1,-5,5,-2,-1,0,-4,-2,2,0,0,1,0,0,0,2,1,5,5,1,0,3,3,2,4,0,0,2,1,3,1,2,1,5,5,2,1,0,4,2,2,0
oGm8OPPDQjd,o7j3x4XL,05/01/2025 21:43,05/01/2025 21:52,547,1,223.101.5.115,123.309262,41.801262,辽宁省,沈阳市,COMPUTER,Windows,Chrome,1536px*864px,1,0,1,0,0,1,2,4,2,1,3,4,2,3,2,5,2,3,5,3,3,4,2,4,3,4,3,4,1,4,1,5,3,4,2,5,1,2,2,4,1,5,3,3,1,3,2,4,2,3,2,5,2,2,2,4,3,4,3,5,5,4,4,4,5,4,4,5,4,4,5,4,2,3,1,4,3,4,3,4,1,5,2,4,1,5,2,2,1,1,1,1,3,2,2,1,1,1,3,3,2,2,1,1,49515.5,16343.4,25252.6,2,1,2,-1,0,1,1,2,1,-1,1,1,0,-1,0,0,-1,-1,-1,-1,2,0,0,1,0,1,0,-3,2,2,1,3,2,1,2,1,0,1,1,2,1,1,1,1,0,1,0,0,1,1,1,1,2,0,0,1,0,1,0,3,2,2,1,3,0
vwkRn99DQ5W,z7ANJJrL,05/01/2025 21:34,05/01/2025 21:50,956,1,124.132.180.140,119.4978887,35.4406586,山东省,日照市,COMPUTER,Windows,Chrome,1366px*768px,1,0,1,0,0,1,1,4,4,1,3,4,3,4,3,4,2,4,5,3,2,4,2,4,3,3,3,3,2,4,2,4,3,3,2,4,2,3,2,4,2,5,2,4,3,4,2,4,1,4,1,4,2,3,3,4,2,4,2,4,5,4,4,5,5,5,4,4,4,5,4,4,2,3,2,4,1,4,1,4,2,3,2,4,2,4,1,1,2,2,2,2,2,2,2,1,2,2,3,2,2,2,1,1,7334,39378.8,28444.2,-1,1,-1,-3,0,1,1,0,0,-1,0,-1,0,1,-1,-2,0,0,1,3,0,0,-1,1,-1,2,0,1,0,0,1,3,1,1,1,3,0,1,1,0,0,1,0,1,0,1,1,2,0,0,1,3,0,0,1,1,1,2,0,1,0,0,1,3,0
bo3QvaZNbqd,37KNzVlM,05/01/2025 21:35,05/01/2025 21:45,623,1,119.135.228.235,113.0468756,23.6924463,广东省,清远市,COMPUTER,Windows,Chrome,1239px*697px,1,0,1,0,0,1,2,4,2,1,3,3,1,2,1,4,1,5,4,2,3,4,2,3,2,5,5,3,1,4,1,3,2,5,2,5,1,2,1,5,2,5,2,2,1,4,1,5,3,4,3,5,2,3,2,2,1,4,1,5,4,5,5,5,4,5,3,4,3,5,4,4,1,3,2,5,1,4,3,4,4,5,3,5,2,3,1,2,1,2,1,1,2,1,2,3,1,2,4,3,4,3,1,1,23350.035,30698.17,29136.7,1,0,-1,2,-1,2,4,-2,-1,0,0,3,-2,-1,2,-5,0,-1,1,0,2,-5,-2,1,2,-1,0,-1,3,-2,0,4,1,0,1,2,1,2,4,2,1,0,0,3,2,1,2,5,0,1,1,0,2,5,2,1,2,1,0,1,3,2,0,4,0
nZolrZ8PQEd,z7A8jP6M,05/01/2025 21:36,05/01/2025 21:49,814,1,120.243.134.70,117.2772718,31.8710932,安徽省,合肥市,COMPUTER,Windows,Chrome,1366px*768px,1,0,1,0,0,1,2,4,2,1,3,5,5,4,5,4,1,4,4,5,2,5,1,4,2,5,2,1,1,2,1,5,2,5,2,4,1,1,1,4,1,5,2,2,1,4,1,2,1,2,2,1,1,1,1,1,1,4,1,5,4,5,5,4,4,5,4,5,5,4,5,5,2,4,1,4,2,5,2,4,1,1,2,5,1,4,1,2,1,2,1,1,2,2,1,2,1,2,5,2,1,1,1,1,52471.8,39032,33367.1,-3,0,6,-1,3,0,4,-1,3,-8,4,0,8,-1,4,-2,6,-1,-1,0,0,-1,0,1,0,7,1,-1,-5,0,0,2,3,0,6,1,3,0,4,1,3,8,4,0,8,1,4,2,6,1,1,0,0,1,0,1,0,7,1,1,5,0,0,2,0
oGm5k9r2W6O,BMDKdJKe,05/01/2025 21:31,05/01/2025 21:43,721,1,119.179.177.228,122.0854211,37.5216531,山东省,威海市,COMPUTER,Windows,Chrome,1280px*720px,1,0,1,0,0,1,2,4,2,1,2,4,3,4,4,5,2,5,4,4,1,4,1,3,2,2,2,2,1,3,1,5,2,4,1,3,2,1,1,3,1,4,2,2,1,3,1,4,3,2,2,4,1,1,1,3,2,3,1,4,5,4,3,5,4,5,5,4,3,5,4,3,1,2,1,4,2,5,2,3,1,2,2,3,1,3,2,2,1,2,1,2,3,2,4,3,1,2,1,1,2,1,1,1,33013,34820.1,43573.4,0,0,3,2,-1,-1,1,0,3,-5,4,1,3,0,-1,-1,0,0,0,-1,1,0,-1,0,-3,5,-1,0,-3,-1,1,1,0,0,3,2,1,1,1,0,3,5,4,1,3,0,1,1,0,0,0,1,1,0,1,0,3,5,1,0,3,1,1,1,0
NPXbYxDPWzg,pLzyKmK7,06/01/2025 08:13,06/01/2025 08:29,983,1,39.163.69.28,114.0494693,32.9796577,河南省,驻马店市,COMPUTER,Windows,Chrome,1920px*1080px,0,0,1,0,0,1,1,4,4,1,3,4,4,5,4,4,2,5,4,4,4,4,2,5,2,3,2,5,4,4,1,2,1,4,2,5,3,2,2,4,1,5,2,4,5,4,2,5,1,2,2,4,2,2,1,4,2,5,1,4,4,5,4,4,5,4,5,5,4,5,5,5,2,5,2,4,1,4,1,4,2,2,2,4,1,5,2,2,1,2,1,1,2,1,1,2,1,2,4,1,1,2,16,1,101769.4,107213,52417,1,2,-1,0,1,-2,0,0,1,-1,2,-1,2,-3,-1,-1,1,1,2,1,-1,1,0,0,1,4,-1,2,-2,2,1,1,1,2,1,0,1,2,0,0,1,1,2,1,2,3,1,1,1,1,2,1,1,1,0,0,1,4,1,2,2,2,1,1,1
