作答ID,用户ID,开始时间,结束时间,作答时长,作答渠道,发布ID,问卷发布名称,IP,经度,纬度,省份,城市,设备类型,操作系统类型,浏览器类型,屏幕分辨率,Authoritative,Professionalism,HighProfile,Sensational,Group,Type_Influencer,Gender,Education,Age,NativeLanguage,Experience_AI,Familiarity_1,Familiarity_2,Familiarity_3,Cuteness_1,Cuteness_2,Cuteness_3,Popularity_1,Popularity_2,Popularity_3,Reputation_1,Reputation_2,Reputation_3,Professionalism_1,Professionalism_2,Professionalism_3,Relevance_1,Relevance_2,Relevance_3,Relevance_4,Relevance_5,Relevance_6,Relevance_7,Relevance_8,Relevance_9,Persuasiveness_1,Persuasiveness_2,Persuasiveness_3,Persuasiveness_4,Persuasiveness_5,Persuasiveness_6,Persuasiveness_7,Persuasiveness_8,Persuasiveness_9,Excitement_1,Excitement_2,Excitement_3,Excitement_4,Excitement_5,Excitement_6,Excitement_7,Excitement_8,Excitement_9,Referencing_1,Referencing_2,Referencing_3,Referencing_4,Referencing_5,TargetingGap_1,TargetingGap_2,TargetingGap_3,TargetingGap_4,TargetingGap_5,DemonstrativeGap_1,DemonstrativeGap_2,DemonstrativeGap_3,DemonstrativeGap_4,DemonstrativeGap_5,PersuasiveGap_1,PersuasiveGap_2,PersuasiveGap_3,PersuasiveGap_5,PersuasiveGap_6,Engagement_Info1,Engagement_Info2,Engagement_Info3,Engagement_Emotion1,Engagement_Emotion2,Engagement_Emotion3,Engagement_Behaviour1,Engagement_Behaviour2,Engagement_Behaviour3,Recall_Brand,Recall_Influencer,ResponseTime1,ResponseTime2,ResponseTime3,filter_$
Xy4adYYa5AB,kMrqN4Be,2025-01-07 19:56:19,2025-01-07 20:07:34,675,1,6viY3m,消费者性格与AI视频广告研究真人组（主研究-Study2）,112.18.123.115,104.0515351,30.6585724,四川省,成都市,COMPUTER,Windows,WeChat,1280px*720px,0,0,0,0,1,1,1,4,4,1,3,4,5,4,4,5,4,5,5,4,5,4,5,5,4,5,4,5,5,4,3,4,4,5,4,5,4,4,3,4,5,4,3,5,3,4,4,5,3,4,4,3,4,5,4,3,4,5,1,2,2,2,3,1,1,2,2,3,3,4,2,3,2,4,3,4,4,5,5,3,4,5,1,1,69720.4,13177.2,75278.9,1
NPXynZKP62r,pLzlvyKM,2025-01-07 17:14:38,2025-01-07 17:28:14,816,1,6viY3m,消费者性格与AI视频广告研究真人组（主研究-Study2）,140.240.81.108,110.3612590,20.0033510,海南省,海口市,COMPUTER,Windows,Chrome,1536px*864px,0,0,0,0,1,1,1,4,3,1,1,5,4,5,4,4,5,5,4,4,5,4,5,4,5,5,2,1,1,2,1,2,2,1,2,1,1,2,1,2,2,5,4,4,1,2,2,1,2,1,1,2,1,4,5,4,3,3,4,5,4,5,5,2,1,1,2,3,5,4,5,4,5,3,4,4,1,3,2,3,2,2,1,1,26938.4,12261.2,23961.8,1
NPXNAz4Ogrm,J7B9y6EM,2025-01-07 16:44:52,2025-01-07 17:07:36,1364,1,6viY3m,消费者性格与AI视频广告研究真人组（主研究-Study2）,123.138.32.190,109.0387350,34.3274030,陕西省,西安市,COMPUTER,Windows,Chrome,3440px*1440px,0,0,0,0,1,1,2,4,4,1,3,5,5,4,5,4,5,4,5,5,4,5,4,4,5,5,5,5,4,5,4,4,4,5,4,4,5,5,4,5,4,4,4,5,5,3,4,5,5,5,4,5,4,5,4,4,5,4,1,1,2,1,1,2,1,2,2,1,1,3,2,1,2,5,4,4,5,5,4,4,5,4,1,1,225407.1,11101.1,27263.8,1
Xy43a3vk905,oe4Jm067,2025-01-07 15:59:53,2025-01-07 16:08:15,502,1,6viY3m,消费者性格与AI视频广告研究真人组（主研究-Study2）,183.199.93.194,119.5919001,39.9412726,河北省,秦皇岛市,COMPUTER,Windows,Chrome,1536px*864px,0,0,0,0,1,1,2,5,4,1,3,2,2,2,4,5,4,4,4,4,4,3,3,4,4,4,4,5,5,4,4,5,4,4,4,4,5,4,4,5,5,4,4,4,4,5,5,4,4,4,5,5,4,5,4,5,5,4,2,1,1,2,2,2,2,1,2,2,2,5,2,2,1,5,5,4,4,5,5,5,4,4,1,1,38882.7,18756.1,26158.3,1
Q1kz6lKAGZb,VMJ343J7,2025-01-07 14:41:57,2025-01-07 14:51:55,598,1,6viY3m,消费者性格与AI视频广告研究真人组（主研究-Study2）,39.144.168.105,115.8067200,29.2277410,江西省,九江市,COMPUTER,Windows,Chrome,1707px*1067px,0,0,0,0,1,1,1,4,4,1,3,4,5,3,3,3,4,5,5,5,4,4,5,4,5,5,4,4,5,3,4,4,3,3,4,4,4,3,4,3,3,5,4,4,3,3,4,5,5,5,4,3,3,3,4,3,4,4,3,2,2,2,3,2,2,2,3,2,3,4,2,2,2,4,5,4,3,3,4,3,5,4,1,1,44743.9,51053.3,25579.3,1
Xy431gAr8yw,0eyGV4n7,2025-01-07 14:17:34,2025-01-07 14:31:32,838,1,6viY3m,消费者性格与AI视频广告研究真人组（主研究-Study2）,120.38.233.201,118.1680816,26.6361445,福建省,南平市,COMPUTER,Windows,Chrome,1440px*960px,0,0,0,0,1,1,2,4,5,1,3,4,5,4,4,4,5,5,4,5,5,4,4,5,5,4,4,5,4,3,5,4,3,3,3,3,2,3,5,5,4,5,4,4,5,4,4,5,5,3,3,2,3,3,4,3,4,4,2,2,2,2,1,2,4,4,3,2,2,2,1,2,2,5,4,5,4,4,5,2,4,3,1,1,28962.3,49163.4,27147.1,1
Xy435XZYKoj,veErQrPM,2025-01-07 12:42:29,2025-01-07 12:50:28,479,1,6viY3m,消费者性格与AI视频广告研究真人组（主研究-Study2）,60.176.58.150,120.2188504,30.2398990,浙江省,杭州市,COMPUTER,Windows,Chrome,1440px*900px,0,0,0,0,1,1,2,4,5,1,3,5,4,5,4,4,5,5,5,4,5,4,5,5,5,4,5,5,4,3,4,4,2,2,4,4,3,3,4,4,4,5,4,4,2,2,4,4,4,2,2,2,2,4,2,2,4,2,2,1,1,1,2,2,4,4,4,2,2,2,2,2,1,2,2,4,4,2,4,2,4,2,1,1,11995,18757.2,30419.7,1
g90aZrp5nZn,5Lww8yzL,2025-01-07 12:31:03,2025-01-07 12:38:40,457,1,6viY3m,消费者性格与AI视频广告研究真人组（主研究-Study2）,183.250.35.49,118.5800690,24.8964381,福建省,泉州市,COMPUTER,Windows,Chrome,1920px*1080px,0,0,0,0,1,1,2,5,4,1,3,5,5,5,5,4,4,5,5,4,5,4,4,5,5,5,5,4,5,4,5,4,4,5,5,4,4,4,5,5,4,5,4,4,4,5,5,5,5,4,4,5,5,5,4,4,4,3,1,1,1,2,2,1,1,2,1,3,2,4,2,4,2,5,4,4,4,4,4,5,4,5,1,1,21722.1,10039.5,27162.9,1
WQ2YGYbNqlr,J7q8D4qM,2025-01-07 11:42:56,2025-01-07 11:49:51,415,1,6viY3m,消费者性格与AI视频广告研究真人组（主研究-Study2）,124.73.198.15,117.2825070,31.8080080,安徽省,合肥市,COMPUTER,Windows,Chrome,1920px*1080px,0,0,0,0,1,1,2,5,4,1,3,5,5,4,5,4,5,5,5,5,5,4,5,5,5,4,5,4,4,5,5,4,4,4,5,4,5,5,5,4,5,5,4,5,5,4,5,5,4,5,4,5,5,5,5,4,4,5,1,1,2,2,2,2,1,3,2,2,2,5,2,2,1,5,4,5,5,5,4,5,5,5,1,1,12978,29068.5,31864.4,1
Q1kKEnbEQ0q,G7XbvBBe,2025-01-07 11:28:53,2025-01-07 11:43:12,859,1,6viY3m,消费者性格与AI视频广告研究真人组（主研究-Study2）,112.36.225.71,117.0065150,36.6191450,山东省,济南市,COMPUTER,Windows,Chrome,1280px*720px,0,0,0,0,1,1,2,5,3,1,3,4,5,4,2,2,4,5,4,4,5,4,5,4,4,5,3,3,4,2,2,1,2,1,2,1,2,2,1,2,1,1,2,1,2,1,1,2,1,2,2,1,2,2,1,1,2,1,2,2,1,1,2,2,2,1,2,1,2,5,5,1,1,2,1,1,2,1,2,1,1,2,1,1,10247.6,6150.3,31869.2,1
