作答ID,用户ID,开始时间,结束时间,作答时长,作答渠道,发布ID,问卷发布名称,IP,经度,纬度,省份,城市,设备类型,操作系统类型,浏览器类型,屏幕分辨率,Synchronicity,Group,Edu,Education,Language,USEOFAI,Synchronicity_1,Synchronicity_2,Synchronicity_3,Synchronicity_4,Synchronicity_5,Synchronicity_6,Synchronicity_7,Synchronicity_8,Synchronicity_9,Synchronicity_10,Synchronicity_11,Synchronicity_12,Relevance_6,Relevance_7,Relevance_8,Relevance_9,Persuasiveness_4,Persuasiveness_5,Persuasiveness_6,Excitement_4,Excitement_5,Excitement_8,Excitement_9,Referencing_1,Referencing_4,Referencing_5,PrivacyConcern_1,PrivacyConcern_2,PrivacyConcern_3,PrivacyConcern_4,PrivacyConcern_5,PrivacyConcern_6,PrivacyConcern_7,PrivacyConcern_8,DisadvantagingTarget_1,DisadvantagingTarget_2,DisadvantagingTarget_3,Autheticity_1,Autheticity_2,Autheticity_3,Trustworthiness_1,Trustworthiness_2,Trustworthiness_3,Trustworthiness_5,Trustworthiness_6,AwarenessGenAI_1,AwarenessGenAI_2,AwarenessGenAI_3,AwarenessGenAI_4,Colonisation_ExcessiveManipulation4,Colonisation_ExcessiveManipulation5,Colonisation_ExcessiveManipulation6,Colonisation_ExcessiveManipulation7,Reflexivity_Potential4,Reflexivity_Potential5,Reflexivity_Potential6,Reflexivity_Potential9,Engagement_Info1,Engagement_Info2,Engagement_Info3,Engagement_Emotion1,Engagement_Emotion2,Engagement_Emotion3,Engagement_Behaviour1,Engagement_Behaviour2,Engagement_Behaviour3,Recall_Brand,Recall_Influencer,ResponseTime1,ResponseTime2,ResponseTime3,PRIVACYCONCERN,DISADVANTAGING,AUTHETICITY,COLONISATION,REFLXIVITY,AI_REALISATION,PERCERIVED_SYNCHRONICITY,CAT_PRIVACYCONCERN,CAT_DISADVANTAGING,CAT_AUTHENTICITY,CAT_COLONISATION,CAT_REFLEXIVITY,CAT_AI_REALISATION,CAT_AUTHETICITY
Xy4rYm4yaOj,WLGoYXNL,2025-01-07 23:33:40,2025-01-07 23:45:06,686,1,B3yiI3,消费者性格与AI视频广告研究真人组（主研究-Study3）,120.219.114.87,113.8284284,34.0092877,河南省,许昌市,COMPUTER,Windows,Chrome,1680px*1050px,1,1,4,4,1,3,4,5,5,4,5,4,4,5,4,5,4,5,5,5,4,5,5,5,3,4,5,4,5,5,5,4,2,1,2,2,1,2,1,1,2,1,1,5,4,5,4,5,4,5,4,4,5,4,4,1,1,2,2,4,4,5,4,4,5,4,5,5,4,4,4,5,1,1,11953.325,27901.805,34658.605,1.55555555555556,1.57142857142857,4.5,1.5,4.42857142857143,4.25,4.5,0,0,1,0,1,1,1
mNVpoAkGDJd,me3BJXaL,2025-01-07 23:07:44,2025-01-07 23:22:42,898,1,B3yiI3,消费者性格与AI视频广告研究真人组（主研究-Study3）,36.99.188.184,113.8853181,35.2925964,河南省,新乡市,COMPUTER,Windows,Chrome,1920px*1080px,1,1,3,2,1,3,4,4,5,4,3,4,4,5,4,5,4,4,4,3,4,4,4,5,4,5,4,3,4,4,4,5,3,2,2,3,2,4,4,3,3,2,2,4,4,5,4,4,5,4,5,4,5,4,4,4,5,4,4,4,4,5,3,4,4,5,5,4,5,4,4,5,1,1,35657.6,19195.3,39244.1,3,3.28571428571429,4.375,4.25,4,4.25,4.16666666666667,0,1,1,1,1,1,1
mNVpOxjVxWn,Bep4W8xe,2025-01-07 22:23:31,2025-01-07 22:36:24,773,1,B3yiI3,消费者性格与AI视频广告研究真人组（主研究-Study3）,219.128.234.14,113.1258988,23.0229910,广东省,佛山市,COMPUTER,Windows,Chrome,1920px*1080px,1,1,4,2,1,3,5,4,5,4,5,5,4,5,5,3,5,5,4,4,2,3,4,5,4,4,4,2,2,4,5,4,5,4,4,5,4,5,5,5,3,4,3,4,3,3,4,5,4,3,2,4,5,4,4,4,4,3,4,2,4,3,4,3,4,4,3,3,4,3,2,3,1,1,59029.3,57818.4,40371.9,4.55555555555556,3,3.5,3.75,3.14285714285714,4.25,4.58333333333333,1,1,0,1,0,1,0
nZoA0D8xPod,9LQbngGe,2025-01-07 22:20:00,2025-01-07 22:34:16,856,1,B3yiI3,消费者性格与AI视频广告研究真人组（主研究-Study3）,171.105.93.119,109.6177304,23.0980405,广西壮族自治区,贵港市,COMPUTER,Windows,Chrome,1536px*864px,1,1,4,2,1,3,4,4,4,4,4,4,4,3,4,4,3,3,2,2,3,4,5,4,4,4,4,2,2,2,3,2,4,4,4,5,3,2,3,4,2,2,2,4,4,3,4,4,4,4,3,3,2,2,2,2,2,2,4,2,3,3,4,3,2,3,4,2,4,3,2,3,1,1,78285.8,58664.4,36572.6,3.55555555555556,2.14285714285714,3.75,2.5,3.42857142857143,2.25,3.75,1,0,0,0,0,0,0
nZowrY5NmjN,xMoDy467,2025-01-07 22:15:07,2025-01-07 22:28:26,799,1,B3yiI3,消费者性格与AI视频广告研究真人组（主研究-Study3）,117.188.218.38,104.4683390,25.7003360,贵州省,六盘水市,COMPUTER,Windows,Chrome,1536px*864px,1,1,4,2,1,3,4,4,3,3,4,4,4,4,4,3,4,4,2,2,2,2,4,3,2,3,3,4,4,3,3,3,5,4,4,4,4,3,4,4,3,2,4,3,3,2,3,4,4,1,3,4,4,4,3,5,2,2,2,3,4,2,3,3,4,4,4,4,4,2,3,3,1,1,37599.3,81075.4,29122.1,4,3,2.875,2.75,3.42857142857143,3.75,3.75,1,1,0,1,0,0,0
WQ2A4OJQ5mb,me3RP6oL,2025-01-08 17:32:44,2025-01-08 17:51:35,1131,1,iyAfQn,消费者性格与AI视频广告研究真人组（Part2-Study3）,218.29.60.74,113.9331280,35.2942680,河南省,新乡市,COMPUTER,Windows,Chrome,1440px*960px,1,1,5,2,1,3,5,5,5,5,5,4,5,5,5,4,5,4,5,4,4,4,5,5,5,3,3,2,3,5,5,4,2,2,1,1,1,3,2,2,2,2,1,4,4,4,4,5,5,4,3,4,5,3,3,2,2,2,1,4,4,3,5,4,5,5,5,4,5,4,5,5,1,1,97947.9,30197,26545,1.77777777777778,1.57142857142857,4.125,1.75,4.14285714285714,3.75,4.75,0,0,1,0,1,0,1
mNV8x154yzx,RMW9GkPL,2025-01-08 16:37:16,2025-01-08 16:48:28,672,1,iyAfQn,消费者性格与AI视频广告研究真人组（Part2-Study3）,103.102.203.207,116.3109910,40.0518940,北京市,市辖区,COMPUTER,Windows,Chrome,1280px*800px,1,1,5,2,1,3,4,4,3,3,4,4,3,3,4,3,4,4,2,3,2,3,4,3,4,3,3,3,3,4,4,3,3,4,4,4,4,3,3,4,3,4,3,4,3,4,4,3,3,3,3,4,5,3,3,3,2,3,4,2,3,3,3,3,4,4,4,3,4,3,4,3,1,1,19614.2,29529.2,33269.2,3.55555555555556,3.42857142857143,3.375,3,3,3.75,3.58333333333333,1,1,0,1,0,0,0
vwkaJBkan2x,5M2aEGVe,2025-01-08 16:30:39,2025-01-08 16:43:46,787,1,iyAfQn,消费者性格与AI视频广告研究真人组（Part2-Study3）,113.124.160.60,119.1683632,36.6947521,山东省,潍坊市,COMPUTER,Linux,Chrome,1152px*720px,1,1,4,3,1,3,4,5,5,4,5,4,5,4,4,5,5,5,5,4,4,4,5,4,4,4,5,4,5,4,5,4,2,1,2,2,1,4,4,4,2,1,1,5,4,4,5,4,5,4,4,4,5,4,3,2,1,1,2,3,5,4,4,4,5,4,3,4,4,5,4,4,1,1,33228.2,29302.9,32080.1,2.44444444444444,1.42857142857143,4.375,1.5,4.14285714285714,4,4.58333333333333,0,0,1,0,1,1,1
nZoqJEgljKB,kMrqDaVe,2025-01-08 16:29:01,2025-01-08 16:44:18,917,1,iyAfQn,消费者性格与AI视频广告研究真人组（Part2-Study3）,117.129.57.114,116.3974589,39.9388838,北京市,市辖区,COMPUTER,Windows,Chrome,1366px*768px,1,1,4,4,1,3,4,2,3,2,2,4,3,4,4,2,3,2,2,1,3,2,3,1,2,2,1,1,2,2,2,1,2,1,1,2,2,4,2,1,1,2,2,3,2,2,1,2,1,1,1,5,4,4,4,2,2,1,2,2,5,2,3,3,2,4,1,2,3,1,4,2,1,1,53202.47,42432.39,32188.245,1.88888888888889,1.85714285714286,1.625,1.75,3.14285714285714,4.25,2.91666666666667,0,0,0,0,0,1,0
nZokz9G33vd,4enj5Zde,2025-01-08 10:01:01,2025-01-08 10:15:08,847,1,FBzu6b,消费者性格与AI视频广告研究mismatch真人组（Study3）,123.138.79.82,108.8816010,34.2302920,陕西省,西安市,COMPUTER,Windows,Chrome,1920px*1080px,0,1,5,6,1,3,2,1,2,2,3,1,2,2,3,1,2,1,1,1,2,2,4,3,4,2,3,1,2,4,4,5,4,5,4,4,5,5,3,4,4,5,4,4,4,5,4,4,5,5,3,5,4,4,5,3,4,2,5,2,3,2,3,2,4,2,2,4,3,2,2,1,16,1,30577.8,25968.3,28989,4.33333333333333,4,4.25,3.5,2.85714285714286,4.5,1.83333333333333,1,1,1,1,0,1,1
