作答ID,用户ID,开始时间,结束时间,作答时长,作答渠道,IP,经度,纬度,省份,城市,设备类型,操作系统类型,浏览器类型,屏幕分辨率,Group,GENDER,Edu,AGE,Language,USEOFAI,Synchronicity_1,Synchronicity_2,Synchronicity_3,Synchronicity_4,Synchronicity_5,Synchronicity_6,Synchronicity_7,Synchronicity_8,Synchronicity_9,Synchronicity_10,Synchronicity_11,Synchronicity_12,Relevance_1,Relevance_2,Relevance_3,Relevance_4,Relevance_5,Relevance_6,Relevance_7,Relevance_8,Relevance_9,Persuasiveness_1,Persuasiveness_2,Persuasiveness_3,Persuasiveness_4,Persuasiveness_5,Persuasiveness_6,Persuasiveness_7,Persuasiveness_8,Persuasiveness_9,Excitement_1,Excitement_2,Excitement_3,Excitement_4,Excitement_5,Excitement_6,Excitement_7,Excitement_8,Excitement_9,Arousal_1,Arousal_2,Arousal_3,Arousal_4,Arousal_5,PrivacyConcern_1,PrivacyConcern_2,PrivacyConcern_3,PrivacyConcern_4,PrivacyConcern_5,PrivacyConcern_6,PrivacyConcern_7,PrivacyConcern_8,PrivacyConcern_9,DisadvantagingTarget_1,DisadvantagingTarget_2,DisadvantagingTarget_3,DisadvantagingTarget_4,DisadvantagingTarget_5,DisadvantagingTarget_6,DisadvantagingTarget_7,DisadvantagingTarget_8,DisadvantagingTarget_9,DisadvantagingTarget_10,Precision_1,Precision_2,Precision_3,Precision_4,Precision_5,Precision_6,Precision_7,Precision_8,Precision_9,Autheticity_1,Autheticity_2,Autheticity_3,Trustworthiness_1,Trustworthiness_2,Trustworthiness_3,Trustworthiness_4,Trustworthiness_5,Trustworthiness_6,Trustworthiness_7,Trustworthiness_8,AwarenessGenAI_1,AwarenessGenAI_2,AwarenessGenAI_3,AwarenessGenAI_4,Colonisation_1,Colonisation_2,Colonisation_3,Colonisation_4,Colonisation_5,Colonisation_6,Colonisation_7,Reflexivity_1,Reflexivity_2,Reflexivity_3,Reflexivity_4,Reflexivity_5,Reflexivity_6,Reflexivity_7,Reflexivity_8,Reflexivity_9,Reflexivity_10,Reflexivity_11,Reflexivity_12,Reflexivity_13,Reflexivity_14,Reflexivity_15,Engagement_Info1,Engagement_Info2,Engagement_Info3,Engagement_Emotion1,Engagement_Emotion2,Engagement_Emotion3,Engagement_Behaviour1,Engagement_Behaviour2,Engagement_Behaviour3,Recall_Brand,Recall_Influencer,试次1,ResponseTime1,试次2,ResponseTime2,试次3,ResponseTime3,试次1.1,试次1反应时（毫秒）.1,试次2.1,试次2反应时（毫秒）.1,试次3.1,试次3反应时（毫秒）.1,试次1.2,试次1反应时（毫秒）.2,试次2.2,试次2反应时（毫秒）.2,试次3.2,试次3反应时（毫秒）.2,试次1.3,试次1反应时（毫秒）.3,试次2.3,试次2反应时（毫秒）.3,试次3.3,试次3反应时（毫秒）.3,试次1.4,试次1反应时（毫秒）.4,试次2.4,试次2反应时（毫秒）.4,试次3.4,试次3反应时（毫秒）.4,试次1.5,试次1反应时（毫秒）.5,试次2.5,试次2反应时（毫秒）.5,试次3.5,试次3反应时（毫秒）.5,试次1.6,试次1反应时（毫秒）.6,试次2.6,试次2反应时（毫秒）.6,试次3.6,试次3反应时（毫秒）.6,试次1.7,试次1反应时（毫秒）.7,试次2.7,试次2反应时（毫秒）.7,试次3.7,试次3反应时（毫秒）.7,试次1.8,试次1反应时（毫秒）.8,试次2.8,试次2反应时（毫秒）.8,试次3.8,试次3反应时（毫秒）.8,试次1.9,试次1反应时（毫秒）.9,试次2.9,试次2反应时（毫秒）.9,试次3.9,试次3反应时（毫秒）.9,试次1.10,试次1反应时（毫秒）.10,试次2.10,试次2反应时（毫秒）.10,试次3.10,试次3反应时（毫秒）.10,试次1.11,试次1反应时（毫秒）.11,试次2.11,试次2反应时（毫秒）.11,试次3.11,试次3反应时（毫秒）.11,试次1.12,试次1反应时（毫秒）.12,试次2.12,试次2反应时（毫秒）.12,试次3.12,试次3反应时（毫秒）.12,试次1.13,试次1反应时（毫秒）.13,试次2.13,试次2反应时（毫秒）.13,试次3.13,试次3反应时（毫秒）.13,试次1.14,试次1反应时（毫秒）.14,试次2.14,试次2反应时（毫秒）.14,试次3.14,试次3反应时（毫秒）.14,试次1.15,试次1反应时（毫秒）.15,试次2.15,试次2反应时（毫秒）.15,试次3.15,试次3反应时（毫秒）.15
Xy4rYm4yaOj,WLGoYXNL,14/01/2025 23:33,14/01/2025 23:45,686,1,120.219.114.87,113.8284284,34.0092877,河南省,许昌市,COMPUTER,Windows,Chrome,1680px*1050px,1_ISFP,2,4,4,1,3,4,5,5,4,5,4,4,5,4,5,4,5,5,4,4,5,4,5,5,4,5,4,5,4,5,5,3,5,4,5,4,4,5,4,5,4,5,4,5,5,4,5,5,4,2,1,2,2,1,2,1,1,2,4,5,5,4,1,2,2,4,5,4,2,1,2,1,1,2,1,2,2,5,4,5,4,5,4,5,5,4,5,4,4,5,4,4,2,1,2,1,1,2,2,5,4,5,4,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,5,4,4,4,5,1,1, ,11953.325, ,27901.805, ,34658.605, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
mNVpoAkGDJd,me3BJXaL,14/01/2025 23:07,14/01/2025 23:22,898,1,36.99.188.184,113.8853181,35.2925964,河南省,新乡市,COMPUTER,Windows,Chrome,1920px*1080px,1_ISFP,1,3,2,1,3,4,4,5,4,3,4,4,5,4,5,4,4,4,4,5,4,5,4,3,4,4,4,5,4,4,5,4,4,5,4,4,3,5,5,4,4,5,3,4,4,4,5,4,5,3,2,2,3,2,4,4,3,4,3,4,4,3,5,4,4,5,4,4,4,5,4,4,5,4,3,4,3,4,4,5,4,4,5,4,4,5,4,5,4,5,4,4,4,4,5,4,5,4,4,4,4,3,4,4,5,4,4,3,4,4,5,4,3,4,4,4,5,5,4,5,4,4,5,1,1, ,35657.6, ,19195.3, ,39244.1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
mNVpOxjVxWn,Bep4W8xe,14/01/2025 22:23,14/01/2025 22:36,773,1,219.128.234.14,113.1258988,23.022991,广东省,佛山市,COMPUTER,Windows,Chrome,1920px*1080px,1_ISFP,2,4,2,1,3,5,4,5,4,5,5,4,5,5,3,5,5,4,4,3,4,4,4,4,2,3,4,3,2,4,5,4,4,3,3,3,3,4,4,4,3,2,2,2,4,4,5,5,4,5,4,4,5,4,5,5,5,4,3,2,3,3,3,3,2,3,2,4,2,3,4,3,2,2,4,4,3,4,3,3,4,5,4,4,3,2,3,3,4,5,4,4,4,3,2,4,4,3,4,3,4,2,2,4,3,4,4,4,5,4,3,5,4,3,3,4,4,3,3,4,3,2,3,1,1, ,59029.3, ,57818.4, ,40371.9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
nZoA0D8xPod,9LQbngGe,14/01/2025 22:20,14/01/2025 22:34,856,1,171.105.93.119,109.6177304,23.0980405,广西壮族自治区,贵港市,COMPUTER,Windows,Chrome,1536px*864px,1_ISFP,2,4,2,1,3,4,4,4,4,4,4,4,3,4,4,3,3,3,3,3,2,4,2,2,3,4,4,4,4,5,4,4,5,3,4,3,2,4,4,4,3,3,2,2,2,2,2,3,2,4,4,4,5,3,2,3,4,3,4,4,4,3,2,2,2,4,3,4,2,3,3,2,2,2,2,2,2,4,4,3,4,4,4,3,4,3,3,4,3,2,2,2,4,3,4,2,2,2,4,4,4,4,2,3,3,4,4,4,4,4,4,4,4,4,3,2,3,4,2,4,3,2,3,1,1, ,78285.8, ,58664.4, ,36572.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
nZowrY5NmjN,xMoDy467,14/01/2025 22:15,14/01/2025 22:28,799,1,117.188.218.38,104.468339,25.700336,贵州省,六盘水市,COMPUTER,Windows,Chrome,1536px*864px,1_ISFP,1,4,2,1,3,4,4,3,3,4,4,4,4,4,3,4,4,4,2,3,3,2,2,2,2,2,4,3,3,4,3,2,4,4,4,4,3,3,3,3,4,4,4,4,3,3,3,3,3,5,4,4,4,4,3,4,4,4,3,4,2,3,3,3,3,4,3,4,2,2,3,5,3,3,3,2,2,3,3,2,3,4,4,2,1,3,2,4,4,4,4,3,3,4,4,5,2,2,2,4,4,4,3,4,2,3,3,3,4,4,4,4,4,4,3,4,4,4,4,4,2,3,3,1,1, ,37599.3, ,81075.4, ,29122.1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
nZoA4pNXRla,G7XnDV5e,14/01/2025 23:39,14/01/2025 23:53,832,1,39.144.251.68,118.246136,24.606167,福建省,厦门市,COMPUTER,Windows,Chrome,1536px*864px,10_INTP,2,4,3,1,1,4,4,4,4,5,4,4,4,4,3,4,5,4,4,4,3,3,3,4,4,4,5,4,4,5,4,4,5,4,4,5,5,4,4,4,4,3,4,4,2,2,2,4,4,4,4,4,4,4,5,4,4,4,2,2,3,2,4,3,3,4,4,4,2,2,4,4,4,4,4,3,4,4,4,4,4,4,5,4,4,4,5,4,4,4,4,4,4,4,3,4,2,3,3,4,4,4,2,4,2,4,2,4,4,4,2,4,4,4,4,3,4,4,4,4,3,4,3,10,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22338, ,164176.8, ,28588.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
mNVpDab429K,ve8J5qW7,14/01/2025 23:13,14/01/2025 23:37,1411,1,121.25.214.234,114.9000407,40.8160914,河北省,张家口市,COMPUTER,Windows,WeChat,1536px*864px,10_INTP,2,4,2,1,2,4,4,5,4,4,4,5,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,3,3,3,4,3,4,3,3,4,4,3,4,4,3,4,4,4,4,4,4,4,5,5,4,4,4,4,5,4,4,4,4,4,5,4,4,4,4,4,4,5,4,3,4,4,4,5,5,5,5,5,4,4,4,5,4,4,5,5,5,5,10,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,137888.6, ,95236.8, ,47784.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Q1kGjZ6vaDq,37K8A2PL,14/01/2025 23:05,14/01/2025 23:15,628,1,182.33.0.188,116.5968167,35.3961037,山东省,济宁市,COMPUTER,Windows,WeChat,1280px*720px,10_INTP,2,4,2,1,3,4,5,5,4,5,4,4,5,5,4,5,4,4,4,5,4,4,3,3,4,3,4,4,5,5,4,5,5,4,5,5,4,4,5,5,4,5,5,4,4,3,3,4,4,2,1,2,2,1,1,2,1,2,4,4,5,2,2,1,1,4,5,4,1,2,2,1,1,2,1,1,2,4,5,5,4,5,5,4,5,4,4,5,4,4,5,4,3,2,4,2,1,1,2,5,4,4,5,5,4,4,5,4,5,4,4,5,5,4,4,5,5,4,4,5,5,4,5,10,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,28238.2, ,21009.2, ,31244.1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
g90lkWJg0wO,VMJZB91M,14/01/2025 22:48,14/01/2025 23:03,934,1,183.219.65.234,114.396644,27.798733,江西省,宜春市,COMPUTER,Windows,Chrome,1536px*864px,10_INTP,1,4,3,1,3,4,4,5,4,4,4,5,5,4,4,3,3,4,5,5,4,4,4,5,5,4,4,5,4,4,4,5,4,5,5,3,4,4,4,3,3,4,4,4,4,5,4,4,5,2,1,1,2,2,2,1,1,1,4,5,4,4,2,1,1,3,3,4,2,1,2,2,2,1,1,2,3,4,3,3,4,5,5,4,4,4,5,4,3,3,2,3,3,4,4,1,2,2,1,4,5,5,4,4,4,5,5,4,4,4,4,5,4,5,4,5,4,4,5,5,4,5,4,10,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,28750.7, ,7937.4, ,25382.2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
g90lBVE5Paw,27a2DWbL,14/01/2025 22:36,14/01/2025 22:50,859,1,42.94.21.117,103.7632996,36.0865497,甘肃省,兰州市,COMPUTER,Windows,Chrome,1366px*768px,10_INTP,2,3,3,1,3,5,4,4,5,4,5,5,4,5,4,4,5,4,5,5,4,4,3,4,4,3,5,4,4,5,4,5,5,4,4,5,4,4,5,4,5,5,5,4,4,5,4,4,3,5,4,4,5,5,4,5,5,4,2,3,3,2,4,4,3,5,4,4,2,3,4,2,2,4,3,4,4,3,4,3,4,5,4,4,3,4,5,4,4,3,4,2,5,4,3,4,4,3,2,4,5,3,4,4,3,5,4,4,5,4,2,5,4,3,3,4,4,5,4,4,3,4,5,10,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,85151.5, ,104330.9, ,29712.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
